,Gender,Gap,10_Result,12_Result,Sem1,Sem2,Sem3,Sem4,Sem5,Caste,admission_category
40,Male,0,4,4,4.0,4.0,4.0,3.0,3.0,OPEN,CAP
42,Male,0,4,4,3.0,2.0,2.0,4.0,3.0,OPEN,Minority
43,Female,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,Minority
44,Male,0,4,4,3.0,3.0,3.0,4.0,3.0,OBC,CAP
45,Male,0,4,4,1.0,2.0,1.0,2.0,2.0,OPEN,Minority
49,Male,1,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
51,Male,0,4,4,3.0,2.0,3.0,4.0,4.0,OPEN,Minority
52,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
53,Male,1,4,4,2.0,2.0,0.0,2.0,4.0,OPEN,Minority
54,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
55,Male,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,CAP
56,Male,0,4,4,2.0,3.0,2.0,3.0,3.0,OPEN,CAP
58,Male,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,CAP
59,Male,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,CAP
60,Female,0,4,4,3.0,4.0,4.0,4.0,3.0,OPEN,Minority
61,Male,0,4,4,2.0,2.0,1.0,2.0,2.0,OPEN,Minority
62,Male,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,Minority
63,Female,0,4,4,2.0,1.0,2.0,3.0,3.0,OPEN,Minority
65,Female,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,CAP
66,Male,0,4,4,3.0,4.0,4.0,4.0,3.0,OPEN,Minority
67,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,Minority
68,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
69,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
70,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
72,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
73,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
74,Male,0,4,4,4.0,3.0,3.0,3.0,3.0,OBC,CAP
75,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
76,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OBC,Tution Waiver Scheme
77,Male,0,4,4,3.0,3.0,3.0,2.0,3.0,OPEN,Minority
78,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
79,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
80,Male,0,4,4,1.0,3.0,3.0,3.0,2.0,OPEN,Minority
81,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
82,Male,0,4,4,4.0,3.0,3.0,3.0,3.0,OPEN,CAP
83,Male,1,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Tution Waiver Scheme
84,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
85,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
86,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
88,Male,0,4,4,2.0,3.0,3.0,2.0,3.0,OPEN,CAP
90,Male,0,4,4,4.0,4.0,3.0,4.0,3.0,OPEN,Minority
92,Male,0,4,4,4.0,3.0,3.0,4.0,3.0,OPEN,Tution Waiver Scheme
93,Male,0,3,3,1.0,2.0,1.0,1.0,2.0,OPEN,CAP
94,Female,1,4,4,1.0,1.0,2.0,2.0,3.0,OPEN,Minority
96,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
97,Male,0,4,4,4.0,3.0,4.0,4.0,3.0,OPEN,CAP
98,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,Minority
99,Male,0,3,3,1.0,1.0,1.0,3.0,3.0,OPEN,Minority
100,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,Minority
101,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
102,Male,0,4,4,2.0,3.0,2.0,2.0,2.0,OPEN,CAP
103,Male,0,4,4,1.0,1.0,1.0,2.0,2.0,OPEN,CAP
104,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
106,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,Minority
108,Male,0,4,4,3.0,4.0,3.0,3.0,4.0,OPEN,CAP
109,Female,0,4,4,3.0,3.0,4.0,4.0,3.0,OPEN,Minority
110,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OBC,CAP
111,Male,0,4,4,2.0,1.0,1.0,1.0,2.0,OPEN,CAP
112,Female,0,4,4,3.0,3.0,3.0,3.0,3.0,OPEN,CAP
115,Female,0,4,4,2.0,3.0,3.0,4.0,4.0,OPEN,Minority
116,Male,0,4,4,2.0,3.0,1.0,1.0,1.0,OPEN,CAP
117,Female,0,4,4,3.0,4.0,3.0,3.0,3.0,OPEN,CAP
119,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
120,Male,0,4,4,2.0,3.0,3.0,4.0,4.0,OPEN,CAP
121,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
122,Male,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,CAP
123,Male,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,Minority
124,Male,0,1,1,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
125,Male,0,4,4,3.0,3.0,2.0,3.0,2.0,OPEN,CAP
126,Male,0,4,4,1.0,2.0,3.0,3.0,3.0,OPEN,Minority
127,Male,0,4,4,2.0,3.0,3.0,4.0,3.0,OPEN,Minority
128,Male,0,4,4,3.0,3.0,3.0,3.0,4.0,OPEN,Minority
130,Male,0,4,4,3.0,3.0,2.0,3.0,3.0,OPEN,Tution Waiver Scheme
131,Female,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,Minority
132,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
133,Female,0,4,4,2.0,2.0,3.0,4.0,4.0,OPEN,Minority
134,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
135,Male,0,4,4,3.0,4.0,4.0,3.0,4.0,OPEN,CAP
136,Male,0,4,4,2.0,4.0,3.0,3.0,4.0,OPEN,CAP
138,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
139,Female,0,4,4,1.0,2.0,3.0,4.0,4.0,OPEN,Minority
140,Male,0,4,4,2.0,2.0,2.0,3.0,4.0,OPEN,Minority
141,Female,0,4,4,2.0,2.0,2.0,3.0,3.0,OPEN,Minority
142,Female,0,4,4,2.0,3.0,3.0,1.0,4.0,OPEN,Minority
143,Female,0,4,4,2.0,1.0,3.0,3.0,4.0,OPEN,Minority
144,Female,0,4,4,3.0,3.0,3.0,3.0,4.0,OBC,CAP
145,Male,0,4,4,3.0,3.0,3.0,3.0,4.0,SBC,CAP
146,Male,0,4,4,1.0,1.0,1.0,1.0,2.0,OPEN,Minority
147,Male,0,3,3,2.0,3.0,2.0,2.0,2.0,OPEN,CAP
149,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
150,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
151,Female,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,Minority
153,Male,0,4,4,3.0,3.0,2.0,2.0,4.0,OPEN,CAP
155,Female,0,4,4,2.0,2.0,3.0,4.0,4.0,OPEN,CAP
156,Female,0,4,4,2.0,2.0,3.0,3.0,4.0,OPEN,Minority
157,Male,0,4,4,1.0,3.0,3.0,3.0,4.0,OPEN,Minority
158,Male,1,4,4,3.0,4.0,3.0,4.0,3.0,OPEN,CAP
159,Female,0,4,4,2.0,2.0,2.0,3.0,3.0,OPEN,CAP
160,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
161,Male,0,4,4,3.0,3.0,2.0,2.0,3.0,OPEN,Minority
163,Female,0,4,4,2.0,3.0,2.0,4.0,4.0,OPEN,Minority
164,Male,0,4,4,3.0,4.0,3.0,3.0,3.0,OPEN,CAP
165,Female,0,4,4,1.0,2.0,2.0,3.0,4.0,OPEN,CAP
166,Male,0,3,3,1.0,2.0,4.0,4.0,4.0,OPEN,CAP
167,Female,0,4,4,2.0,2.0,3.0,4.0,4.0,OPEN,Minority
168,Male,0,4,4,1.0,2.0,2.0,3.0,3.0,OPEN,Minority
171,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
172,Male,0,3,3,1.0,2.0,2.0,2.0,3.0,OPEN,Minority
173,Male,0,4,4,3.0,3.0,3.0,3.0,4.0,OPEN,Minority
175,Male,0,4,4,3.0,3.0,2.0,3.0,3.0,OPEN,CAP
176,Male,0,4,4,2.0,2.0,2.0,3.0,4.0,OPEN,Minority
177,Female,0,4,4,1.0,1.0,2.0,4.0,4.0,OPEN,Minority
178,Male,0,4,4,3.0,4.0,3.0,4.0,4.0,OPEN,CAP
181,Male,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,CAP
182,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
183,Male,0,4,4,2.0,2.0,2.0,3.0,2.0,OBC,Caste
184,Male,0,4,4,4.0,4.0,4.0,3.0,4.0,OPEN,CAP
186,Female,0,4,4,2.0,3.0,3.0,3.0,4.0,OPEN,CAP
187,Male,0,4,4,2.0,3.0,3.0,3.0,3.0,OPEN,Minority
188,Male,0,4,4,2.0,3.0,3.0,4.0,3.0,OPEN,Minority
189,Male,0,3,3,1.0,2.0,2.0,2.0,4.0,OPEN,Minority
190,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
191,Male,1,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
192,Male,1,4,4,1.0,2.0,1.0,1.0,3.0,OPEN,Minority
194,Male,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,Minority
195,Male,0,4,4,2.0,3.0,2.0,4.0,4.0,OPEN,Minority
196,Male,0,4,4,1.0,2.0,2.0,2.0,4.0,OPEN,Minority
198,Male,0,4,4,2.0,2.0,2.0,4.0,4.0,OPEN,CAP
199,Female,0,4,4,1.0,2.0,2.0,2.0,3.0,OPEN,CAP
200,Male,0,4,4,4.0,4.0,4.0,3.0,4.0,OPEN,CAP
202,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
203,Female,1,4,4,3.0,2.0,3.0,3.0,3.0,OPEN,Minority
204,Male,0,4,4,3.0,4.0,2.0,4.0,4.0,OPEN,CAP
205,Male,0,4,4,1.0,2.0,2.0,2.0,3.0,SBC,Minority
206,Female,0,3,3,1.0,1.0,1.0,1.0,2.0,OPEN,CAP
207,Male,0,4,4,2.0,4.0,4.0,4.0,4.0,OPEN,CAP
208,Male,0,4,4,1.0,1.0,2.0,2.0,3.0,OPEN,CAP
209,Female,0,3,3,1.0,2.0,2.0,3.0,3.0,OPEN,Minority
210,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
211,Female,0,4,4,1.0,2.0,2.0,2.0,3.0,OPEN,CAP
213,Female,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,Minority
214,Female,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,Minority
215,Male,0,4,4,1.0,1.0,1.0,1.0,2.0,OPEN,CAP
217,Female,0,3,3,2.0,3.0,3.0,3.0,4.0,SC,CAP
220,Male,0,4,4,3.0,4.0,4.0,3.0,3.0,OPEN,CAP
221,Female,2,2,2,2.0,2.0,4.0,4.0,4.0,OPEN,CAP
222,Male,0,4,4,2.0,1.0,2.0,2.0,2.0,OPEN,Minority
223,Male,0,3,3,2.0,3.0,2.0,1.0,3.0,OPEN,CAP
225,Female,0,4,4,2.0,3.0,3.0,4.0,4.0,OBC,CAP
226,Male,0,4,4,2.0,3.0,4.0,3.0,4.0,OBC,CAP
227,Male,0,4,4,2.0,1.0,1.0,1.0,2.0,OPEN,Minority
230,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
231,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Tution Waiver Scheme
233,Male,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,CAP
234,Male,0,4,4,1.0,1.0,1.0,2.0,4.0,OPEN,CAP
236,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,OPEN,CAP
237,Male,0,4,4,4.0,3.0,4.0,3.0,3.0,OPEN,CAP
240,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,OBC,CAP
242,Male,0,4,4,3.0,2.0,2.0,3.0,4.0,OPEN,CAP
245,Male,1,3,3,3.0,3.0,1.0,3.0,3.0,OPEN,CAP
246,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
249,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
250,Male,0,4,4,2.0,2.0,4.0,2.0,4.0,OBC,CAP
251,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
252,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
253,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
254,Female,0,3,3,3.0,3.0,3.0,2.0,3.0,OPEN,CAP
255,Male,0,4,4,2.0,3.0,4.0,2.0,4.0,OBC,Caste
257,Male,0,4,4,4.0,4.0,3.0,4.0,4.0,OPEN,Tution Waiver Scheme
258,Male,1,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
259,Male,0,3,3,2.0,2.0,2.0,1.0,4.0,OPEN,Minority
260,Male,0,4,4,2.0,4.0,3.0,3.0,3.0,OPEN,Minority
261,Female,0,4,4,3.0,3.0,3.0,3.0,4.0,OPEN,CAP
262,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
264,Male,0,4,4,2.0,4.0,4.0,3.0,4.0,OPEN,CAP
265,Male,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,CAP
266,Male,0,4,4,1.0,2.0,1.0,2.0,2.0,OPEN,Minority
267,Male,0,4,4,2.0,3.0,3.0,2.0,4.0,OBC,Caste
269,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
270,Male,0,4,4,3.0,4.0,3.0,4.0,4.0,OPEN,CAP
271,Male,0,4,4,1.0,1.0,1.0,1.0,2.0,OPEN,CAP
272,Male,0,4,4,2.0,2.0,3.0,3.0,3.0,OPEN,CAP
273,Male,0,4,4,4.0,3.0,3.0,4.0,3.0,OPEN,CAP
274,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
275,Male,0,4,4,4.0,3.0,2.0,4.0,4.0,OPEN,CAP
276,Male,0,4,4,2.0,2.0,2.0,3.0,4.0,OPEN,CAP
278,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OBC,Tution Waiver Scheme
279,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OBC,CAP
280,Male,0,4,4,2.0,3.0,1.0,1.0,2.0,OPEN,Minority
281,Male,0,4,4,2.0,3.0,2.0,4.0,4.0,SBC,CAP
284,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,OPEN,CAP
285,Male,0,4,4,2.0,4.0,2.0,3.0,3.0,OPEN,CAP
286,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
288,Female,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
289,Female,0,3,3,1.0,2.0,2.0,3.0,3.0,OPEN,CAP
290,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
295,Male,0,4,4,3.0,4.0,2.0,3.0,4.0,OPEN,CAP
296,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OBC,CAP
297,Male,0,4,4,3.0,4.0,3.0,4.0,4.0,OPEN,Minority
298,Male,0,4,4,3.0,3.0,2.0,2.0,3.0,OPEN,CAP
299,Male,1,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,J&K Migrants
300,Male,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,Tution Waiver Scheme
301,Male,0,3,3,1.0,2.0,1.0,1.0,1.0,OPEN,CAP
303,Female,0,4,4,1.0,2.0,2.0,2.0,2.0,OPEN,Minority
304,Female,0,4,4,1.0,2.0,2.0,2.0,4.0,OPEN,Minority
306,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,Minority
309,Male,0,4,4,2.0,2.0,2.0,3.0,3.0,OPEN,Minority
312,Male,0,4,4,3.0,2.0,4.0,4.0,4.0,OBC,CAP
316,Male,0,3,3,1.0,2.0,1.0,1.0,2.0,OPEN,CAP
317,Female,1,4,4,4.0,4.0,4.0,4.0,3.0,OPEN,Minority
319,Female,0,4,4,1.0,3.0,1.0,2.0,2.0,OPEN,CAP
320,Male,0,3,3,1.0,3.0,1.0,2.0,4.0,OBC,CAP
321,Male,0,4,4,1.0,2.0,1.0,2.0,4.0,OPEN,CAP
322,Male,0,4,4,2.0,2.0,1.0,1.0,4.0,OPEN,CAP
324,Male,0,4,4,1.0,2.0,1.0,2.0,2.0,SC,CAP
325,Female,0,4,4,2.0,2.0,1.0,2.0,4.0,OPEN,CAP
326,Male,0,4,4,4.0,3.0,3.0,3.0,4.0,OPEN,CAP
327,Male,0,4,4,2.0,2.0,2.0,2.0,3.0,OPEN,Minority
330,Male,0,4,4,1.0,1.0,1.0,1.0,4.0,OPEN,CAP
331,Male,0,4,4,2.0,3.0,3.0,4.0,3.0,OPEN,CAP
332,Male,0,4,4,3.0,2.0,2.0,3.0,2.0,OPEN,CAP
333,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
335,Male,0,3,3,2.0,2.0,2.0,3.0,3.0,OPEN,Minority
336,Female,0,4,4,2.0,2.0,2.0,4.0,4.0,OPEN,Minority
337,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,Minority
338,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,Minority
339,Female,0,4,4,2.0,2.0,3.0,4.0,3.0,OPEN,Minority
340,Male,0,4,4,3.0,3.0,3.0,4.0,3.0,OPEN,Minority
341,Female,0,4,4,3.0,4.0,3.0,4.0,4.0,OPEN,CAP
342,Male,0,4,4,1.0,3.0,4.0,3.0,3.0,OPEN,Minority
345,Male,0,4,4,4.0,4.0,3.0,4.0,4.0,OPEN,CAP
346,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,CAP
348,Male,0,4,4,1.0,2.0,1.0,2.0,3.0,OPEN,Minority
349,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
350,Male,0,3,3,2.0,1.0,2.0,3.0,2.0,OPEN,Minority
351,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OBC,Minority
352,Female,0,4,4,3.0,4.0,2.0,4.0,4.0,OPEN,Minority
354,Male,0,4,4,2.0,3.0,3.0,3.0,2.0,OPEN,CAP
355,Male,0,4,4,3.0,3.0,1.0,2.0,2.0,OPEN,CAP
356,Male,0,4,4,2.0,1.0,1.0,3.0,2.0,OPEN,J&K Migrants
357,Male,0,4,4,3.0,3.0,2.0,4.0,3.0,OPEN,Minority
359,Male,0,4,4,2.0,4.0,3.0,4.0,3.0,OPEN,CAP
360,Male,0,4,4,4.0,3.0,4.0,4.0,3.0,OPEN,CAP
361,Male,0,4,4,2.0,2.0,3.0,3.0,3.0,OPEN,Minority
362,Female,0,4,4,2.0,1.0,2.0,3.0,3.0,OPEN,Minority
363,Male,0,4,4,1.0,3.0,3.0,4.0,3.0,OPEN,Minority
364,Male,0,4,4,2.0,3.0,3.0,3.0,3.0,OPEN,CAP
365,Male,0,4,4,3.0,4.0,3.0,4.0,4.0,OPEN,CAP
367,Male,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,Minority
368,Male,0,4,4,3.0,4.0,2.0,3.0,3.0,OPEN,CAP
369,Male,0,4,4,1.0,2.0,2.0,2.0,3.0,OPEN,CAP
370,Male,0,4,4,1.0,1.0,2.0,2.0,3.0,OPEN,Minority
371,Male,0,4,4,1.0,3.0,3.0,4.0,3.0,OPEN,CAP
374,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
375,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
376,Male,0,4,4,4.0,4.0,3.0,4.0,4.0,OPEN,CAP
379,Female,0,4,4,2.0,2.0,4.0,4.0,4.0,OPEN,CAP
381,Male,0,4,4,2.0,3.0,2.0,3.0,3.0,OPEN,Minority
382,Male,0,4,4,1.0,1.0,1.0,2.0,2.0,OPEN,Minority
383,Male,0,4,4,2.0,3.0,3.0,4.0,4.0,OPEN,Minority
385,Male,0,4,4,2.0,2.0,3.0,4.0,4.0,OPEN,CAP
387,Female,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,CAP
389,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
390,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
391,Male,0,4,4,3.0,3.0,3.0,3.0,3.0,OPEN,CAP
392,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
393,Male,0,4,4,1.0,2.0,3.0,4.0,4.0,OPEN,Minority
394,Male,0,4,4,4.0,4.0,3.0,4.0,3.0,OPEN,CAP
395,Female,0,4,4,3.0,2.0,3.0,4.0,4.0,OPEN,Minority
396,Male,0,4,4,2.0,3.0,3.0,4.0,4.0,OPEN,Minority
397,Male,0,2,2,1.0,1.0,2.0,4.0,4.0,OPEN,Minority
398,Male,0,4,4,3.0,3.0,4.0,4.0,3.0,OPEN,CAP
399,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
400,Male,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
401,Male,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,Tution Waiver Scheme
402,Female,0,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
403,Male,0,4,4,1.0,2.0,0.0,2.0,4.0,OPEN,Minority
404,Female,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,CAP
406,Male,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,CAP
407,Female,0,4,4,2.0,3.0,3.0,3.0,2.0,OPEN,CAP
409,Male,0,4,4,3.0,2.0,4.0,4.0,4.0,OPEN,CAP
410,Male,0,3,3,1.0,1.0,2.0,2.0,3.0,SC,CAP
412,Male,0,4,4,3.0,3.0,3.0,4.0,4.0,OPEN,CAP
413,Female,0,4,4,2.0,3.0,4.0,4.0,3.0,OPEN,CAP
414,Male,1,4,4,1.0,2.0,3.0,3.0,2.0,OBC,CAP
415,Male,0,4,4,2.0,3.0,3.0,4.0,3.0,OPEN,CAP
416,Male,0,4,4,2.0,2.0,3.0,4.0,3.0,OPEN,CAP
417,Female,0,4,4,2.0,2.0,2.0,3.0,4.0,OPEN,CAP
421,Male,0,4,4,1.0,2.0,2.0,2.0,3.0,OPEN,CAP
423,Female,1,3,3,1.0,2.0,2.0,2.0,3.0,OPEN,CAP
424,Male,0,4,4,1.0,1.0,3.0,2.0,2.0,OPEN,CAP
427,Male,0,4,4,3.0,3.0,3.0,3.0,3.0,OPEN,CAP
429,Female,0,4,4,4.0,3.0,4.0,4.0,4.0,OPEN,CAP
431,Male,0,4,4,2.0,3.0,3.0,3.0,4.0,OPEN,CAP
432,Male,0,4,4,2.0,3.0,4.0,2.0,3.0,SBC,Tution Waiver Scheme
433,Male,0,4,4,2.0,3.0,4.0,4.0,4.0,OPEN,Minority
434,Female,0,4,4,3.0,4.0,4.0,4.0,4.0,OPEN,CAP
437,Male,0,4,4,3.0,3.0,4.0,4.0,4.0,OBC,CAP
438,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OBC,Tution Waiver Scheme
440,Male,0,4,4,4.0,4.0,4.0,4.0,3.0,OPEN,Minority
441,Male,0,4,4,2.0,3.0,4.0,4.0,3.0,OPEN,CAP
442,Male,0,4,4,2.0,4.0,4.0,4.0,4.0,OPEN,CAP
443,Male,0,4,4,2.0,2.0,3.0,3.0,3.0,OPEN,J&K Migrants
445,Male,1,4,4,3.0,3.0,4.0,2.0,2.0,OPEN,CAP
446,Male,0,4,4,2.0,2.0,2.0,4.0,3.0,OBC,Caste
447,Female,0,4,4,3.0,2.0,4.0,4.0,4.0,OPEN,CAP
448,Male,0,4,4,3.0,4.0,4.0,4.0,4.0,OBC,CAP
449,Male,0,4,4,2.0,3.0,3.0,3.0,3.0,OPEN,CAP
454,Female,0,4,4,3.0,3.0,4.0,4.0,4.0,OPEN,Tution Waiver Scheme
457,Male,1,4,4,4.0,4.0,4.0,4.0,4.0,OPEN,CAP
458,Female,0,4,4,1.0,1.0,1.0,2.0,2.0,OPEN,CAP
