,Division,Gender,Gap,10_Result,12_Result,Sem1,Sem2,Sem3,Sem4,Sem5,Caste,admission_category
68,1605,1605,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1605,1605
69,1596,1596,0.0,4.0,4.0,6.0,6.0,7.0,6.0,6.0,1596,1596
70,1590,1590,0.0,4.0,4.0,6.0,7.0,6.0,6.0,6.0,1590,1590
72,1591,1591,0.0,4.0,4.0,7.0,6.0,6.0,7.0,6.0,1591,1591
73,1592,1592,0.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,1592,1592
74,1593,1593,0.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,1593,1593
75,1594,1594,0.0,4.0,4.0,5.0,6.0,6.0,6.0,7.0,1594,1594
76,1595,1595,0.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,1595,1595
77,1597,1597,0.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,1597,1597
78,1604,1604,0.0,3.0,3.0,6.0,6.0,7.0,7.0,7.0,1604,1604
79,1598,1598,0.0,3.0,3.0,6.0,6.0,7.0,6.0,7.0,1598,1598
80,1599,1599,0.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,1599,1599
81,1600,1600,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1600,1600
82,1601,1601,0.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,1601,1601
83,1602,1602,1.0,4.0,4.0,7.0,7.0,7.0,7.0,6.0,1602,1602
84,1603,1603,0.0,4.0,4.0,7.0,7.0,7.0,7.0,6.0,1603,1603
85,1552,1552,0.0,4.0,4.0,6.0,6.0,7.0,7.0,6.0,1552,1552
86,1587,1587,0.0,4.0,4.0,6.0,7.0,6.0,6.0,7.0,1587,1587
88,1551,1551,0.0,3.0,3.0,4.0,5.0,5.0,4.0,5.0,1551,1551
90,1513,1513,0.0,4.0,4.0,6.0,6.0,5.0,6.0,5.0,1513,1513
92,1497,1497,0.0,3.0,3.0,6.0,5.0,5.0,6.0,5.0,1497,1497
93,1498,1498,0.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,1498,1498
94,1499,1499,1.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,1499,1499
96,1500,1500,0.0,4.0,4.0,5.0,6.0,7.0,7.0,6.0,1500,1500
97,1501,1501,0.0,4.0,4.0,6.0,5.0,6.0,6.0,5.0,1501,1501
98,1502,1502,0.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,1502,1502
99,1503,1503,0.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,1503,1503
100,1504,1504,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,1504,1504
101,1505,1505,0.0,4.0,4.0,6.0,7.0,7.0,7.0,6.0,1505,1505
102,1506,1506,0.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,1506,1506
103,1507,1507,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1507,1507
104,1508,1508,0.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,1508,1508
106,1509,1509,0.0,3.0,3.0,5.0,6.0,6.0,7.0,7.0,1509,1509
108,1510,1510,0.0,4.0,4.0,5.0,6.0,5.0,5.0,6.0,1510,1510
109,1511,1511,0.0,3.0,3.0,5.0,5.0,6.0,6.0,5.0,1511,1511
110,1496,1496,0.0,3.0,3.0,6.0,7.0,7.0,6.0,7.0,1496,1496
111,1495,1495,0.0,4.0,4.0,4.0,3.0,2.0,3.0,4.0,1495,1495
112,1494,1494,0.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,1494,1494
115,1485,1485,0.0,4.0,4.0,4.0,5.0,5.0,7.0,7.0,1485,1485
116,1479,1479,0.0,3.0,3.0,4.0,5.0,3.0,3.0,3.0,1479,1479
117,1480,1480,0.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,1480,1480
119,1481,1481,0.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,1481,1481
120,1482,1482,0.0,3.0,3.0,4.0,5.0,5.0,7.0,6.0,1482,1482
121,1483,1483,0.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,1483,1483
122,1484,1484,0.0,4.0,4.0,4.0,5.0,6.0,6.0,7.0,1484,1484
123,1486,1486,0.0,3.0,3.0,4.0,5.0,6.0,7.0,7.0,1486,1486
124,1493,1493,0.0,4.0,4.0,5.0,5.0,6.0,6.0,6.0,1493,1493
125,1487,1487,0.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1487,1487
126,1488,1488,0.0,3.0,3.0,3.0,4.0,5.0,5.0,5.0,1488,1488
127,1489,1489,0.0,3.0,3.0,4.0,5.0,5.0,6.0,5.0,1489,1489
128,1490,1490,0.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,1490,1490
130,1491,1491,0.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,1491,1491
131,1492,1492,0.0,4.0,4.0,5.0,5.0,6.0,7.0,6.0,1492,1492
132,1512,1512,0.0,3.0,3.0,6.0,6.0,6.0,6.0,6.0,1512,1512
133,1514,1514,0.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,1514,1514
134,1549,1549,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,1549,1549
135,1515,1515,0.0,4.0,4.0,5.0,6.0,6.0,5.0,6.0,1515,1515
136,1534,1534,0.0,4.0,4.0,4.0,6.0,5.0,5.0,6.0,1534,1534
138,1535,1535,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1535,1535
139,1536,1536,0.0,3.0,3.0,3.0,4.0,5.0,6.0,6.0,1536,1536
140,1537,1537,0.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,1537,1537
141,1538,1538,0.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,1538,1538
142,1539,1539,0.0,3.0,3.0,4.0,5.0,5.0,7.0,6.0,1539,1539
143,1540,1540,0.0,4.0,4.0,4.0,3.0,5.0,5.0,6.0,1540,1540
144,1541,1541,0.0,4.0,4.0,5.0,5.0,5.0,5.0,6.0,1541,1541
145,1542,1542,0.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,1542,1542
146,1543,1543,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1543,1543
147,1544,1544,0.0,3.0,3.0,4.0,5.0,4.0,4.0,4.0,1544,1544
149,1545,1545,0.0,3.0,3.0,6.0,7.0,6.0,6.0,6.0,1545,1545
150,1546,1546,0.0,3.0,3.0,5.0,7.0,6.0,6.0,7.0,1546,1546
151,1547,1547,0.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,1547,1547
153,1548,1548,0.0,4.0,4.0,5.0,5.0,4.0,4.0,0.0,1548,1548
155,1533,1533,0.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0,1533,1533
156,1532,1532,0.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,1532,1532
157,1531,1531,0.0,3.0,3.0,3.0,5.0,5.0,5.0,7.0,1531,1531
158,1522,1522,1.0,3.0,3.0,5.0,6.0,5.0,6.0,5.0,1522,1522
159,1516,1516,0.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,1516,1516
160,1517,1517,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1517,1517
161,1518,1518,0.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,1518,1518
163,1519,1519,0.0,3.0,3.0,4.0,5.0,4.0,6.0,6.0,1519,1519
164,1520,1520,0.0,4.0,4.0,5.0,6.0,5.0,5.0,5.0,1520,1520
165,1521,1521,0.0,3.0,3.0,3.0,4.0,4.0,5.0,6.0,1521,1521
166,1523,1523,0.0,3.0,3.0,3.0,4.0,6.0,6.0,6.0,1523,1523
167,1530,1530,0.0,3.0,3.0,4.0,4.0,5.0,6.0,7.0,1530,1530
168,1524,1524,0.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1524,1524
171,1525,1525,0.0,4.0,4.0,7.0,7.0,6.0,7.0,7.0,1525,1525
172,1526,1526,0.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1526,1526
173,1527,1527,0.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,1527,1527
175,1528,1528,0.0,3.0,3.0,5.0,5.0,4.0,5.0,5.0,1528,1528
176,1529,1529,0.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,1529,1529
177,1550,1550,0.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,1550,1550
178,1625,1625,0.0,3.0,3.0,5.0,6.0,5.0,6.0,6.0,1625,1625
181,1698,1698,0.0,4.0,4.0,6.0,5.0,6.0,7.0,6.0,1698,1698
182,1626,1626,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,1626,1626
183,1719,1719,0.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,1719,1719
184,1720,1720,0.0,4.0,4.0,7.0,6.0,6.0,5.0,6.0,1720,1720
186,1721,1721,0.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,1721,1721
187,1722,1722,0.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1722,1722
188,1723,1723,0.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,1723,1723
189,1724,1724,0.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,1724,1724
190,1725,1725,0.0,4.0,4.0,6.0,6.0,7.0,6.0,6.0,1725,1725
191,1726,1726,1.0,4.0,4.0,6.0,6.0,7.0,6.0,7.0,1726,1726
192,1727,1727,1.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,1727,1727
194,1728,1728,0.0,3.0,3.0,4.0,5.0,6.0,6.0,7.0,1728,1728
195,1729,1729,0.0,3.0,3.0,4.0,5.0,4.0,6.0,6.0,1729,1729
196,1730,1730,0.0,3.0,3.0,3.0,4.0,4.0,4.0,6.0,1730,1730
198,1731,1731,0.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,1731,1731
199,1732,1732,0.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1732,1732
200,1733,1733,0.0,4.0,4.0,6.0,6.0,6.0,5.0,6.0,1733,1733
202,1718,1718,0.0,3.0,3.0,7.0,6.0,7.0,7.0,7.0,1718,1718
203,1717,1717,1.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,1717,1717
204,1716,1716,0.0,3.0,3.0,5.0,6.0,4.0,6.0,6.0,1716,1716
205,1707,1707,0.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,1707,1707
206,1701,1701,0.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,1701,1701
207,1702,1702,0.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,1702,1702
208,1703,1703,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,1703,1703
209,1704,1704,0.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1704,1704
210,1705,1705,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1705,1705
211,1706,1706,0.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,1706,1706
213,1708,1708,0.0,4.0,4.0,6.0,5.0,6.0,7.0,7.0,1708,1708
214,1715,1715,0.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,1715,1715
215,1709,1709,0.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,1709,1709
217,1710,1710,0.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,1710,1710
220,1711,1711,0.0,3.0,3.0,5.0,7.0,6.0,5.0,5.0,1711,1711
221,1712,1712,2.0,3.0,3.0,4.0,4.0,6.0,6.0,7.0,1712,1712
222,1713,1713,0.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1713,1713
223,1714,1714,0.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,1714,1714
225,1734,1734,0.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,1734,1734
226,1736,1736,0.0,4.0,4.0,4.0,5.0,6.0,5.0,6.0,1736,1736
227,1771,1771,0.0,3.0,3.0,4.0,3.0,3.0,2.0,0.0,1771,1771
230,1737,1737,0.0,3.0,3.0,5.0,5.0,6.0,6.0,6.0,1737,1737
231,1756,1756,0.0,3.0,3.0,6.0,6.0,7.0,7.0,7.0,1756,1756
233,1757,1757,0.0,3.0,3.0,4.0,5.0,6.0,6.0,6.0,1757,1757
234,1758,1758,0.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,1758,1758
236,1759,1759,0.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,1759,1759
237,1760,1760,0.0,3.0,3.0,6.0,5.0,6.0,5.0,5.0,1760,1760
240,1761,1761,0.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,1761,1761
242,1762,1762,0.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,1762,1762
245,1763,1763,1.0,3.0,3.0,5.0,5.0,3.0,5.0,5.0,1763,1763
246,1764,1764,0.0,3.0,3.0,5.0,6.0,6.0,6.0,7.0,1764,1764
249,1765,1765,0.0,4.0,4.0,6.0,6.0,6.0,7.0,7.0,1765,1765
250,1766,1766,0.0,3.0,3.0,4.0,4.0,6.0,4.0,6.0,1766,1766
251,1767,1767,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1767,1767
252,1768,1768,0.0,4.0,4.0,6.0,7.0,6.0,7.0,7.0,1768,1768
253,1769,1769,0.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,1769,1769
254,1770,1770,0.0,3.0,3.0,5.0,5.0,5.0,4.0,0.0,1770,1770
255,1755,1755,0.0,4.0,4.0,4.0,5.0,6.0,4.0,6.0,1755,1755
257,1754,1754,0.0,3.0,3.0,7.0,7.0,5.0,6.0,6.0,1754,1754
258,1753,1753,1.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,1753,1753
259,1744,1744,0.0,3.0,3.0,4.0,4.0,4.0,3.0,6.0,1744,1744
260,1738,1738,0.0,3.0,3.0,4.0,6.0,5.0,5.0,5.0,1738,1738
261,1739,1739,0.0,3.0,3.0,5.0,5.0,5.0,5.0,7.0,1739,1739
262,1740,1740,0.0,4.0,4.0,7.0,7.0,7.0,6.0,7.0,1740,1740
264,1741,1741,0.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,1741,1741
265,1742,1742,0.0,3.0,3.0,5.0,5.0,5.0,6.0,7.0,1742,1742
266,1743,1743,0.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,1743,1743
267,1745,1745,0.0,3.0,3.0,4.0,5.0,5.0,4.0,6.0,1745,1745
269,1752,1752,0.0,4.0,4.0,5.0,5.0,6.0,7.0,6.0,1752,1752
270,1746,1746,0.0,3.0,3.0,5.0,6.0,5.0,6.0,6.0,1746,1746
271,1747,1747,0.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,1747,1747
272,1748,1748,0.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1748,1748
273,1749,1749,0.0,4.0,4.0,6.0,5.0,5.0,6.0,5.0,1749,1749
274,1750,1750,0.0,4.0,4.0,7.0,6.0,7.0,7.0,7.0,1750,1750
275,1751,1751,0.0,4.0,4.0,6.0,5.0,4.0,6.0,7.0,1751,1751
276,1700,1700,0.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,1700,1700
278,1735,1735,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1735,1735
279,1699,1699,0.0,4.0,4.0,5.0,6.0,7.0,7.0,7.0,1699,1699
280,1661,1661,0.0,3.0,3.0,4.0,5.0,3.0,3.0,0.0,1661,1661
281,1645,1645,0.0,3.0,3.0,4.0,5.0,4.0,6.0,7.0,1645,1645
284,1646,1646,0.0,3.0,3.0,4.0,5.0,5.0,5.0,6.0,1646,1646
285,1647,1647,0.0,3.0,3.0,4.0,6.0,4.0,5.0,5.0,1647,1647
286,1648,1648,0.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1648,1648
288,1649,1649,0.0,3.0,3.0,5.0,5.0,6.0,7.0,6.0,1649,1649
289,1650,1650,0.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,1650,1650
290,1651,1651,0.0,4.0,4.0,6.0,7.0,6.0,7.0,7.0,1651,1651
295,1652,1652,0.0,4.0,4.0,5.0,6.0,4.0,5.0,6.0,1652,1652
296,1653,1653,0.0,4.0,4.0,6.0,6.0,7.0,7.0,7.0,1653,1653
297,1654,1654,0.0,4.0,4.0,5.0,7.0,5.0,6.0,6.0,1654,1654
298,1655,1655,0.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,1655,1655
299,1656,1656,1.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,1656,1656
300,1657,1657,0.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,1657,1657
301,1658,1658,0.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,1658,1658
303,1659,1659,0.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1659,1659
304,1644,1644,0.0,3.0,3.0,3.0,4.0,4.0,4.0,0.0,1644,1644
306,1643,1643,0.0,3.0,3.0,5.0,5.0,6.0,6.0,7.0,1643,1643
309,1642,1642,0.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,1642,1642
312,1633,1633,0.0,4.0,4.0,5.0,4.0,6.0,7.0,7.0,1633,1633
316,1627,1627,0.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,1627,1627
317,1628,1628,1.0,4.0,4.0,6.0,6.0,6.0,6.0,5.0,1628,1628
319,1629,1629,0.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,1629,1629
320,1630,1630,0.0,3.0,3.0,3.0,5.0,3.0,4.0,0.0,1630,1630
321,1631,1631,0.0,3.0,3.0,3.0,4.0,3.0,4.0,6.0,1631,1631
322,1632,1632,0.0,3.0,3.0,4.0,4.0,2.0,3.0,0.0,1632,1632
324,1634,1634,0.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1634,1634
325,1641,1641,0.0,3.0,3.0,4.0,4.0,3.0,4.0,6.0,1641,1641
326,1635,1635,0.0,4.0,4.0,6.0,5.0,5.0,5.0,6.0,1635,1635
327,1636,1636,0.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,1636,1636
330,1637,1637,0.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,1637,1637
331,1638,1638,0.0,4.0,4.0,4.0,5.0,5.0,6.0,5.0,1638,1638
332,1639,1639,0.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,1639,1639
333,1640,1640,0.0,3.0,3.0,6.0,6.0,7.0,7.0,7.0,1640,1640
335,1660,1660,0.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,1660,1660
336,1662,1662,0.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,1662,1662
337,1697,1697,0.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,1697,1697
338,1663,1663,0.0,3.0,3.0,6.0,7.0,7.0,7.0,7.0,1663,1663
339,1682,1682,0.0,3.0,3.0,4.0,4.0,5.0,6.0,5.0,1682,1682
340,1683,1683,0.0,4.0,4.0,5.0,5.0,5.0,6.0,5.0,1683,1683
341,1684,1684,0.0,4.0,4.0,5.0,6.0,5.0,7.0,7.0,1684,1684
342,1685,1685,0.0,3.0,3.0,3.0,5.0,6.0,5.0,5.0,1685,1685
345,1686,1686,0.0,3.0,3.0,6.0,6.0,5.0,6.0,6.0,1686,1686
346,1687,1687,0.0,4.0,4.0,5.0,5.0,6.0,7.0,7.0,1687,1687
348,1688,1688,0.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,1688,1688
349,1689,1689,0.0,4.0,4.0,6.0,7.0,6.0,6.0,6.0,1689,1689
350,1690,1690,0.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,1690,1690
351,1691,1691,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1691,1691
352,1692,1692,0.0,3.0,3.0,5.0,6.0,4.0,6.0,6.0,1692,1692
354,1693,1693,0.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1693,1693
355,1694,1694,0.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,1694,1694
356,1695,1695,0.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,1695,1695
357,1696,1696,0.0,3.0,3.0,5.0,5.0,4.0,6.0,5.0,1696,1696
359,1681,1681,0.0,4.0,4.0,4.0,6.0,5.0,6.0,5.0,1681,1681
360,1680,1680,0.0,4.0,4.0,6.0,5.0,6.0,6.0,5.0,1680,1680
361,1679,1679,0.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,1679,1679
362,1670,1670,0.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,1670,1670
363,1664,1664,0.0,4.0,4.0,3.0,5.0,5.0,6.0,5.0,1664,1664
364,1665,1665,0.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,1665,1665
365,1666,1666,0.0,4.0,4.0,5.0,6.0,5.0,6.0,6.0,1666,1666
367,1667,1667,0.0,3.0,3.0,5.0,5.0,5.0,6.0,6.0,1667,1667
368,1668,1668,0.0,3.0,3.0,5.0,6.0,4.0,5.0,5.0,1668,1668
369,1669,1669,0.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,1669,1669
370,1671,1671,0.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,1671,1671
371,1678,1678,0.0,4.0,4.0,3.0,5.0,5.0,6.0,5.0,1678,1678
374,1672,1672,0.0,4.0,4.0,7.0,7.0,7.0,7.0,7.0,1672,1672
375,1673,1673,0.0,4.0,4.0,5.0,6.0,6.0,7.0,7.0,1673,1673
376,1674,1674,0.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,1674,1674
379,1675,1675,0.0,4.0,4.0,4.0,4.0,6.0,7.0,6.0,1675,1675
381,1676,1676,0.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,1676,1676
382,1677,1677,0.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,1677,1677
383,1478,1478,0.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,1478,1478
385,1477,1477,0.0,3.0,3.0,4.0,4.0,5.0,6.0,6.0,1477,1477
387,1476,1476,0.0,4.0,4.0,5.0,5.0,5.0,7.0,6.0,1476,1476
389,1402,1402,0.0,3.0,3.0,7.0,7.0,7.0,7.0,7.0,1402,1402
390,1275,1275,0.0,4.0,4.0,7.0,6.0,7.0,7.0,7.0,1275,1275
391,1276,1276,0.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,1276,1276
392,1277,1277,0.0,3.0,3.0,5.0,6.0,6.0,6.0,6.0,1277,1277
393,1278,1278,0.0,3.0,3.0,3.0,4.0,5.0,6.0,7.0,1278,1278
394,1279,1279,0.0,3.0,3.0,6.0,6.0,5.0,6.0,5.0,1279,1279
